Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2009 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
,,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,,,,
"Total, All Industries","213,962","3,127,494","3,114,773","3,110,232","3,138,171","3,161,466","3,187,983","3,123,181","3,099,996","3,144,372","3,148,164","3,139,592","3,143,046","$176,508,524,598","3,136,539","$1,082",
"Natural Resources and Mining","1,025","6,027","5,909","6,522","7,638","8,353","8,809","8,878","8,793","8,633","8,320","7,641","7,280","$366,706,225","7,734","$912",
"11 - Agriculture, Forestry, Fishing and Hunting","921","4,964","4,938","5,519","6,441","7,059","7,485","7,542","7,473","7,310","6,993","6,340","6,103","$301,837,932","6,514","$891",
"21 - Mining, Quarrying, and Oil and Gas Extraction","104","1,063","971","1,003","1,197","1,294","1,324","1,336","1,320","1,323","1,327","1,301","1,177","$64,868,292","1,220","$1,023",
"Construction","20,013","120,546","115,769","115,057","121,377","125,427","128,329","129,777","128,841","125,847","124,294","120,993","116,641","$7,478,198,945","122,742","$1,172",
"23 - Construction","20,013","120,546","115,769","115,057","121,377","125,427","128,329","129,777","128,841","125,847","124,294","120,993","116,641","$7,478,198,945","122,742","$1,172",
"Manufacturing","7,543","270,807","266,696","263,602","260,577","258,538","259,041","256,396","255,338","254,363","253,648","253,853","254,179","$17,940,543,107","258,920","$1,332",
"DUR - Durable Goods Manufacturing","4,737","179,149","176,465","174,116","171,718","169,927","169,647","167,974","167,153","166,097","165,325","165,238","165,581","$12,869,176,157","169,866","$1,457",
"NONDUR -  Non-Durable Goods Manufacturing","2,806","91,658","90,231","89,486","88,859","88,611","89,394","88,422","88,185","88,266","88,323","88,615","88,598","$5,071,366,950","89,054","$1,095",
"Trade, Transportation and Utilities","43,319","577,596","566,454","562,715","562,509","568,471","576,683","569,471","567,732","568,488","573,618","579,898","585,871","$24,766,326,283","571,626","$833",
"22 - Utilities","402","14,002","14,005","14,020","13,930","13,885","13,835","13,881","13,873","13,806","13,763","13,739","13,683","$1,270,544,055","13,869","$1,762",
"42 - Wholesale Trade","15,092","130,130","128,553","127,786","127,552","127,579","128,427","127,877","127,334","126,220","126,296","125,947","125,926","$9,753,208,521","127,469","$1,471",
"Information","4,224","92,707","91,322","91,423","90,609","90,224","90,621","89,676","89,734","89,787","89,816","89,677","89,271","$7,338,263,880","90,406","$1,561",
"51 - Information","4,224","92,707","91,322","91,423","90,609","90,224","90,621","89,676","89,734","89,787","89,816","89,677","89,271","$7,338,263,880","90,406","$1,561",
"Financial Activities","16,376","217,851","216,519","215,855","214,731","214,775","216,202","215,932","215,084","211,535","210,363","209,949","210,288","$21,486,219,390","214,090","$1,930",
"52 - Finance and Insurance","9,883","177,949","176,987","176,543","175,073","174,368","174,433","173,900","173,163","170,772","170,189","170,224","170,484","$19,248,167,072","173,674","$2,131",
"53 - Real Estate and Rental and Leasing","6,493","39,902","39,532","39,312","39,658","40,407","41,769","42,032","41,921","40,763","40,174","39,725","39,804","$2,238,052,318","40,417","$1,065",
"Professional and Business Services","40,555","466,740","462,341","460,535","466,868","466,218","469,571","468,738","468,448","465,536","464,654","464,056","463,684","$36,235,755,814","465,616","$1,497",
"54 - Professional and Technical Services","28,020","261,714","261,013","259,251","258,344","253,947","255,197","254,888","254,086","251,749","250,677","251,329","253,058","$24,437,967,229","255,438","$1,840",
"55 - Management of Companies and Enterprises","1,167","59,612","59,207","59,003","59,329","59,269","59,489","59,014","58,874","58,600","58,624","58,361","58,655","$5,982,696,510","59,003","$1,950",
"56 - Administrative and Waste Services","11,368","145,414","142,121","142,281","149,195","153,002","154,885","154,836","155,488","155,187","155,353","154,366","151,971","$5,815,092,075","151,175","$740",
"Education and Health Services","20,087","836,244","848,424","850,917","852,773","849,374","841,301","774,757","760,008","837,300","850,811","855,062","855,957","$42,661,545,504","834,411","$983",
"61 - Educational Services","3,572","328,959","341,032","341,804","343,212","338,237","328,266","261,823","248,465","326,681","338,874","341,439","340,501","$16,589,552,444","323,274","$987",
"62 - Health Care and Social Assistance","16,515","507,285","507,392","509,113","509,561","511,137","513,035","512,934","511,543","510,619","511,937","513,623","515,456","$26,071,993,061","511,136","$981",
"Leisure and Hospitality","18,851","277,459","278,856","281,594","294,843","313,234","326,808","337,219","336,134","319,101","309,310","295,950","293,033","$6,580,460,593","305,295","$415",
"71 - Arts, Entertainment, and Recreation","3,316","42,914","43,636","44,260","48,429","53,984","60,073","67,601","66,643","56,349","53,412","48,178","46,948","$1,744,170,017","52,702","$636",
"72 - Accommodation and Food Services","15,535","234,545","235,220","237,334","246,414","259,250","266,735","269,618","269,491","262,752","255,898","247,772","246,085","$4,836,290,576","252,593","$368",
"Other Services","38,472","126,576","127,922","127,527","128,437","129,891","132,941","133,614","132,990","129,286","129,377","129,025","129,821","$3,657,979,979","129,784","$542",
"81 - Other Services, Except Public Administration","38,472","126,576","127,922","127,527","128,437","129,891","132,941","133,614","132,990","129,286","129,377","129,025","129,821","$3,657,979,979","129,784","$542",
"Public Administration","3,497","134,941","134,561","134,485","137,809","136,961","137,677","138,723","136,894","134,496","133,953","133,488","137,021","$7,996,524,878","135,917","$1,131",
"92 - Public Administration","3,497","134,941","134,561","134,485","137,809","136,961","137,677","138,723","136,894","134,496","133,953","133,488","137,021","$7,996,524,878","135,917","$1,131",
