Employment and Wages Report (ES-202)
 Selection Criteria  Area Type : State Area : Massachusetts Year : 2008 Period : Annual Period Ownership Type : All Ownership Types Industry : Totals by Industry Sector NAICS code
Description,No. of Establishments,Number of Employees,,,,,,,,,,,,Total Wages,Average Monthly Employment,Average Weekly Wages,
,,Jan 2008,Feb 2008,Mar 2008,Apr 2008,May 2008,Jun 2008,Jul 2008,Aug 2008,Sep 2008,Oct 2008,Nov 2008,Dec 2008,,,,
"Total, All Industries","213,882","3,191,897","3,190,388","3,206,181","3,245,496","3,279,848","3,318,741","3,250,238","3,233,434","3,271,724","3,271,428","3,250,553","3,239,129","$184,225,159,508","3,245,755","$1,092",
"Natural Resources and Mining","1,021","6,274","6,251","6,682","7,847","8,425","8,967","9,072","8,830","8,503","8,032","7,313","7,113","$363,103,008","7,776","$898",
"11 - Agriculture, Forestry, Fishing and Hunting","921","5,117","5,162","5,585","6,557","7,024","7,562","7,709","7,500","7,178","6,729","6,040","5,938","$297,455,055","6,508","$879",
"21 - Mining, Quarrying, and Oil and Gas Extraction","100","1,157","1,089","1,097","1,290","1,401","1,405","1,363","1,330","1,325","1,303","1,273","1,175","$65,647,953","1,267","$996",
"Construction","20,788","135,049","132,105","134,749","142,372","148,618","152,152","154,382","153,622","150,407","147,666","143,280","136,390","$8,833,341,922","144,233","$1,178",
"23 - Construction","20,788","135,049","132,105","134,749","142,372","148,618","152,152","154,382","153,622","150,407","147,666","143,280","136,390","$8,833,341,922","144,233","$1,178",
"Manufacturing","7,787","289,537","288,594","288,211","288,046","288,171","289,858","286,778","287,629","285,762","284,128","281,665","279,113","$19,761,950,091","286,458","$1,327",
"DUR - Durable Goods Manufacturing","4,889","191,561","191,160","190,905","190,730","190,867","192,064","190,741","191,365","189,936","188,091","186,066","184,586","$14,327,890,813","189,839","$1,451",
"NONDUR -  Non-Durable Goods Manufacturing","2,898","97,976","97,434","97,306","97,316","97,304","97,794","96,037","96,264","95,826","96,037","95,599","94,527","$5,434,059,278","96,618","$1,082",
"Trade, Transportation and Utilities","44,394","602,139","590,083","591,452","594,376","600,268","608,052","601,107","599,905","597,286","599,387","602,600","608,697","$26,088,080,955","599,613","$837",
"22 - Utilities","384","13,525","13,497","13,499","13,523","13,588","13,800","13,765","13,762","13,696","13,740","13,812","13,812","$1,217,025,598","13,668","$1,712",
"42 - Wholesale Trade","15,791","137,125","136,035","136,509","137,126","137,597","138,671","137,847","137,178","136,017","135,375","134,602","134,247","$10,497,584,162","136,527","$1,479",
"Information","4,267","93,868","94,834","95,534","96,766","96,734","96,784","95,698","95,575","94,850","93,861","93,826","94,039","$7,868,993,096","95,197","$1,590",
"51 - Information","4,267","93,868","94,834","95,534","96,766","96,734","96,784","95,698","95,575","94,850","93,861","93,826","94,039","$7,868,993,096","95,197","$1,590",
"Financial Activities","16,798","221,849","221,479","221,834","221,879","222,378","224,841","225,865","225,427","222,099","221,261","220,195","220,321","$23,791,155,394","222,452","$2,057",
"52 - Finance and Insurance","10,101","180,446","180,185","180,381","179,887","179,700","180,778","181,375","181,122","179,204","179,243","178,708","178,954","$21,392,844,296","179,999","$2,286",
"53 - Real Estate and Rental and Leasing","6,697","41,403","41,294","41,453","41,992","42,678","44,063","44,490","44,305","42,895","42,018","41,487","41,367","$2,398,311,097","42,454","$1,086",
"Professional and Business Services","40,825","481,726","482,922","484,633","494,804","497,480","503,631","501,783","500,980","496,463","494,893","490,020","484,530","$38,040,948,339","492,822","$1,484",
"54 - Professional and Technical Services","28,121","258,396","260,421","260,416","262,433","260,242","263,682","265,305","264,981","261,999","263,461","263,304","265,381","$25,327,304,915","262,502","$1,855",
"55 - Management of Companies and Enterprises","1,150","62,067","61,936","61,730","61,679","61,713","62,010","61,315","61,206","61,058","61,039","60,829","60,945","$6,180,193,307","61,461","$1,934",
"56 - Administrative and Waste Services","11,554","161,263","160,565","162,487","170,692","175,525","177,939","175,163","174,793","173,406","170,393","165,887","158,204","$6,533,450,117","168,860","$744",
