Industry,Jan 2005,Feb 2005,Mar 2005,Apr 2005,May 2005,Jun 2005,Jul 2005,Aug 2005,Sep 2005,Oct 2005,Nov 2005,Dec 2005,Jan 2006,Feb 2006,Mar 2006,Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006,Jan 2007,Feb 2007,Mar 2007,Apr 2007,May 2007,Jun 2007,Jul 2007,Aug 2007,Sep 2007,Oct 2007,Nov 2007,Dec 2007,Jan 2008,Feb 2008,Mar 2008,Apr 2008,May 2008,Jun 2008,Jul 2008,Aug 2008,Sep 2008,Oct 2008,Nov 2008,Dec 2008,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015
"Total, All Industries",3083999,3090997,3099290,3154736,3185542,3225572,3156789,3142565,3200740,3191678,3200053,3209229,3121843,3120537,3141908,3184064,3214536,3265216,3189787,3178891,3232020,3233591,3237415,3248088,3166005,3161591,3177485,3217617,3259249,3309572,3231331,3223270,3266843,3269542,3274331,3276575,3191897,3190388,3206181,3245496,3279848,3318741,3250238,3233434,3271724,3271428,3250553,3239129,3127494,3114773,3110232,3138171,3161466,3187983,3123181,3099996,3144372,3148164,3139592,3143046,3083519,3071098,3082068,3138238,3183315,3205354,3161810,3139947,3174619,3194761,3188219,3191525,3110698,3111246,3129333,3179598,3208901,3246045,3208612,3187772,3238774,3240068,3236006,3240034,3162220,3160021,3189632,3221763,3257235,3313155,3248809,3244240,3278569,3286336,3287793,3284534,3203723,3207008,3231688,3278113,3320088,3363753,3302598,3302185,3327740,3340775,3342095,3342157,3261161,3263300,3285775,3337765,3379122,3421512,3375795,3360651,3400483,3419696,3424004,3427150,3329740,3315106,3346737,3399587,3452161,3496123,3459969,3439181,3454345,3480473,3481990,3483701
Natural Resources and Mining – employment,7128,6897,7238,8679,9302,9958,10159,10060,9808,9042,8525,8173,6565,6625,7064,8450,8895,9385,9643,9708,9424,8936,8045,7808,6253,6074,6920,8028,8700,9491,9363,9255,8801,8409,7842,7389,6274,6251,6682,7847,8425,8967,9072,8830,8503,8032,7313,7113,6027,5909,6522,7638,8353,8809,8878,8793,8633,8320,7641,7280,6044,5904,6472,7917,8354,8825,9228,9120,8689,8406,7545,6930,5821,5795,6437,7648,8378,8991,9426,9674,9354,8779,7835,7130,6059,6051,6741,7815,8548,9399,9472,9463,9196,8950,7840,7143,5993,5775,6312,7627,8597,9163,9555,9657,9301,8918,7784,7069,6071,5982,6371,7671,8620,9329,9711,9897,9611,9117,7937,7477,6062,5913,6394,7845,8910,9670,9986,10006,9798,9760,8537,7926
Natural Resources and Mining – growth rate,0,-0.03,0.05,0.2,0.07,0.07,0.02,-0.01,-0.03,-0.08,-0.06,-0.04,-0.2,0.01,0.07,0.2,0.05,0.06,0.03,0.01,-0.03,-0.05,-0.1,-0.03,-0.2,-0.03,0.14,0.16,0.08,0.09,-0.01,-0.01,-0.05,-0.04,-0.07,-0.06,-0.15,0,0.07,0.17,0.07,0.06,0.01,-0.03,-0.04,-0.06,-0.09,-0.03,-0.15,-0.02,0.1,0.17,0.09,0.05,0.01,-0.01,-0.02,-0.04,-0.08,-0.05,-0.17,-0.02,0.1,0.22,0.06,0.06,0.05,-0.01,-0.05,-0.03,-0.1,-0.08,-0.16,0,0.11,0.19,0.1,0.07,0.05,0.03,-0.03,-0.06,-0.11,-0.09,-0.15,0,0.11,0.16,0.09,0.1,0.01,0,-0.03,-0.03,-0.12,-0.09,-0.16,-0.04,0.09,0.21,0.13,0.07,0.04,0.01,-0.04,-0.04,-0.13,-0.09,-0.14,-0.01,0.07,0.2,0.12,0.08,0.04,0.02,-0.03,-0.05,-0.13,-0.06,-0.19,-0.02,0.08,0.23,0.14,0.09,0.03,0,-0.02,0,-0.13,-0.07
Construction – employment,136750,132867,134569,147456,154270,159051,162437,162622,160747,157150,157218,152768,141314,138664,141280,151919,156110,160386,162046,162239,158861,156425,153369,149555,138290,133118,135386,143504,152074,157602,159432,159544,157112,155241,152993,147035,135049,132105,134749,142372,148618,152152,154382,153622,150407,147666,143280,136390,120546,115769,115057,121377,125427,128329,129777,128841,125847,124294,120993,116641,106978,103153,105364,114131,119630,123957,127613,126894,125031,124020,122185,118001,108045,105185,107029,116661,122683,128023,131935,132319,130367,128794,127088,123288,114491,111424,114991,122526,126636,131890,135122,135360,133225,133558,132342,129002,120232,118180,120071,127710,135304,139912,143339,143806,141206,140496,138286,134172,126182,123667,125096,133841,141712,146499,149847,149807,147651,148126,147345,143998,135299,130496,132770,143960,152575,157081,160075,160396,157303,158603,157344,154628
Construction – growth rate,0,-0.03,0.01,0.1,0.05,0.03,0.02,0,-0.01,-0.02,0,-0.03,-0.07,-0.02,0.02,0.08,0.03,0.03,0.01,0,-0.02,-0.02,-0.02,-0.02,-0.08,-0.04,0.02,0.06,0.06,0.04,0.01,0,-0.02,-0.01,-0.01,-0.04,-0.08,-0.02,0.02,0.06,0.04,0.02,0.01,0,-0.02,-0.02,-0.03,-0.05,-0.12,-0.04,-0.01,0.05,0.03,0.02,0.01,-0.01,-0.02,-0.01,-0.03,-0.04,-0.08,-0.04,0.02,0.08,0.05,0.04,0.03,-0.01,-0.01,-0.01,-0.01,-0.03,-0.08,-0.03,0.02,0.09,0.05,0.04,0.03,0,-0.01,-0.01,-0.01,-0.03,-0.07,-0.03,0.03,0.07,0.03,0.04,0.02,0,-0.02,0,-0.01,-0.03,-0.07,-0.02,0.02,0.06,0.06,0.03,0.02,0,-0.02,-0.01,-0.02,-0.03,-0.06,-0.02,0.01,0.07,0.06,0.03,0.02,0,-0.01,0,-0.01,-0.02,-0.06,-0.04,0.02,0.08,0.06,0.03,0.02,0,-0.02,0.01,-0.01,-0.02
Manufacturing – employment,306954,307228,306232,306133,306548,308225,304014,304715,304478,303929,303507,304296,300303,300054,299980,299652,300001,302256,298574,299092,298855,297804,297382,298238,296712,296342,295621,294985,295667,298201,294385,295775,294743,293375,293475,293890,289537,288594,288211,288046,288171,289858,286778,287629,285762,284128,281665,279113,270807,266696,263602,260577,258538,259041,256396,255338,254363,253648,253853,254179,251789,250800,251154,251976,253267,255480,255739,255866,255070,256239,256401,256277,251986,251161,252166,253465,253979,256169,256174,256259,254615,254527,254186,254455,250896,250550,250996,251256,251652,255138,252971,252998,251879,252020,251797,251918,249584,249082,249659,249676,250510,253001,251623,252012,250799,250281,250262,250884,250077,249198,249643,249759,250340,252266,251281,251659,249823,250257,250696,251403,247989,247835,248479,248886,249520,251799,250777,250486,248311,248149,248278,248533
Manufacturing – growth rate,0,0.001,-0.003,0,0.001,0.005,-0.014,0.002,-0.001,-0.002,-0.001,0.003,-0.013,-0.001,0,-0.001,0.001,0.008,-0.012,0.002,-0.001,-0.004,-0.001,0.003,-0.005,-0.001,-0.002,-0.002,0.002,0.009,-0.013,0.005,-0.003,-0.005,0,0.001,-0.015,-0.003,-0.001,-0.001,0,0.006,-0.011,0.003,-0.006,-0.006,-0.009,-0.009,-0.03,-0.015,-0.012,-0.011,-0.008,0.002,-0.01,-0.004,-0.004,-0.003,0.001,0.001,-0.009,-0.004,0.001,0.003,0.005,0.009,0.001,0,-0.003,0.005,0.001,0,-0.017,-0.003,0.004,0.005,0.002,0.009,0,0,-0.006,0,-0.001,0.001,-0.014,-0.001,0.002,0.001,0.002,0.014,-0.008,0,-0.004,0.001,-0.001,0,-0.009,-0.002,0.002,0,0.003,0.01,-0.005,0.002,-0.005,-0.002,0,0.002,-0.003,-0.004,0.002,0,0.002,0.008,-0.004,0.002,-0.007,0.002,0.002,0.003,-0.014,-0.001,0.003,0.002,0.003,0.009,-0.004,-0.001,-0.009,-0.001,0.001,0.001
"Trade, Transportation and Utilities – employment",597220,591719,590813,595494,600103,607889,602042,601910,600355,602739,612014,623208,598566,587522,589982,593601,597733,606653,600353,600438,600624,604142,614387,624059,598779,588043,589732,592093,600117,609984,603274,601700,601274,606325,617952,625838,602139,590083,591452,594376,600268,608052,601107,599905,597286,599387,602600,608697,577596,566454,562715,562509,568471,576683,569471,567732,568488,573618,579898,585871,567133,557385,558156,564878,571329,578554,575833,575458,572173,579476,586275,596298,571067,563866,563973,569840,574346,581923,579579,579463,578619,583152,590875,599252,573968,563733,566026,568412,576133,586363,580483,580170,577994,583048,593068,598847,576201,567521,568727,573953,580965,590849,584885,585674,583811,586153,595476,604294,582406,574634,575651,581657,588285,596627,590622,580784,590692,596245,606578,616527,590283,577964,580545,586838,594199,603778,599951,599575,595649,600197,609001,616728
"Trade, Transportation and Utilities – growth rate",0,-0.009,-0.002,0.008,0.008,0.013,-0.01,0,-0.003,0.004,0.015,0.018,-0.04,-0.018,0.004,0.006,0.007,0.015,-0.01,0,0,0.006,0.017,0.016,-0.041,-0.018,0.003,0.004,0.014,0.016,-0.011,-0.003,-0.001,0.008,0.019,0.013,-0.038,-0.02,0.002,0.005,0.01,0.013,-0.011,-0.002,-0.004,0.004,0.005,0.01,-0.051,-0.019,-0.007,0,0.011,0.014,-0.013,-0.003,0.001,0.009,0.011,0.01,-0.032,-0.017,0.001,0.012,0.011,0.013,-0.005,-0.001,-0.006,0.013,0.012,0.017,-0.042,-0.013,0,0.01,0.008,0.013,-0.004,0,-0.001,0.008,0.013,0.014,-0.042,-0.018,0.004,0.004,0.014,0.018,-0.01,-0.001,-0.004,0.009,0.017,0.01,-0.038,-0.015,0.002,0.009,0.012,0.017,-0.01,0.001,-0.003,0.004,0.016,0.015,-0.036,-0.013,0.002,0.01,0.011,0.014,-0.01,-0.017,0.017,0.009,0.017,0.016,-0.043,-0.021,0.004,0.011,0.013,0.016,-0.006,-0.001,-0.007,0.008,0.015,0.013
Information – employment,92330,92551,92614,92487,92836,93654,94364,94073,93406,92863,93433,94035,92391,92327,92430,91944,92678,93865,93702,94193,93340,93010,93658,94389,92555,92829,93776,94015,93559,94402,95014,94973,94761,93547,93286,93824,93868,94834,95534,96766,96734,96784,95698,95575,94850,93861,93826,94039,92707,91322,91423,90609,90224,90621,89676,89734,89787,89816,89677,89271,90575,90653,90803,90922,91541,92620,91658,91319,90776,89462,89766,90294,89084,89316,89660,89363,89786,90889,91955,88196,90347,90308,90044,90400,91298,90926,91302,91368,92015,94149,95094,94474,91931,92499,92076,92084,90403,90462,90607,90808,91340,92959,93291,93138,91800,91507,93281,91758,90706,90751,90780,91415,92192,93418,93649,93193,91998,91999,92155,92459,92953,92488,92801,93090,93424,94822,95275,95003,93733,94373,94681,94890
